"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Blue Mountain Community College","2411 NW Carden Ave, Pendleton, Oregon 97801","https://www.bluecc.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Rural: Fringe","No","1227","1227","22%","12%","Fall 2019","$11,403","-","208275","00318600"
"Central Oregon Community College","2600 NW College Way, Bend, Oregon 97703","www.cocc.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Small","Yes","4155","4155","22%","21%","Fall 2019","$7,819","-","208318","00318800"
"Chemeketa Community College","4000 Lancaster Dr NE, Salem, Oregon 97305","www.chemeketa.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Midsize","No","7642","7642","19%","16%","Fall 2019","$8,000","-","208390","00321800"
"Clackamas Community College","19600 Molalla Ave, Oregon City, Oregon 97045-8980","www.clackamas.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","4638","4638","20%","27%","Fall 2019","$4,351","-","208406","00487800"
"Clatsop Community College","1651 Lexington Avenue, Astoria, Oregon 97103","www.clatsopcc.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Rural: Fringe","No","714","714","15%","10%","Fall 2019","$10,416","-","208415","00318900"
"Columbia Gorge Community College","400 E Scenic Dr, The Dalles, Oregon 97058","www.cgcc.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Town: Remote","Yes","1039","1039","16%","18%","Fall 2019","$9,539","-","420556","04151900"
"Klamath Community College","7390 South Sixth Street, Klamath Falls, Oregon 97603-7121","https://www.klamathcc.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Town: Remote","No","1580","1580","28%","11%","Fall 2019","$8,512","-","428392","03428300"
"Lane Community College","4000 E 30th Ave, Eugene, Oregon 97405-0640","https://www.lanecc.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Rural: Fringe","Yes","6745","6745","24%","19%","Fall 2019","$8,800","-","209038","00319600"
"Linn-Benton Community College","6500 Pacific Blvd SW, Albany, Oregon 97321","https://www.linnbenton.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Small","No","4242","4242","22%","9%","Fall 2019","$11,564","-","209074","00693800"
"Mt Hood Community College","26000 SE Stark St, Gresham, Oregon 97030","www.mhcc.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","6012","6012","22%","13%","Fall 2019","$7,269","-","209250","00320400"
"Oregon Coast Community College","400 SE College Way, Newport, Oregon 97366","www.oregoncoastcc.org/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Rural: Fringe","No","398","398","16%","19%","Fall 2019","$12,874","-","423652","04283700"
"Portland Community College","12000 SW 49th Avenue, Portland, Oregon 97219-7132","www.pcc.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Large","No","19400","19400","18%","21%","Fall 2019","$10,166","-","209746","00321300"
"Rogue Community College","3345 Redwood Hwy, Grants Pass, Oregon 97527-9291","www.roguecc.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Rural: Fringe","No","3423","3423","14%","18%","Fall 2019","$8,806","-","209940","01018200"
"Southwestern Oregon Community College","1988 Newmark Ave, Coos Bay, Oregon 97420-2193","www.socc.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Town: Remote","Yes","1443","1443","34%","19%","Fall 2019","$8,758","-","210155","00322000"
"Tillamook Bay Community College","4301 Third St., Tillamook, Oregon 97141","tillamookbaycc.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Rural: Fringe","No","538","538","33%","13%","Fall 2019","$4,760","-","420723","04194900"
"Treasure Valley Community College","650 College Blvd., Ontario, Oregon 97914","https://www.tvcc.cc/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Town: Distant","Yes","1329","1329","26%","14%","Fall 2019","$5,752","-","210234","00322100"
"Umpqua Community College","1140 Umpqua College Rd., Roseburg, Oregon 97470-0226","https://www.umpqua.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Rural: Fringe","Yes","2325","2325","25%","13%","Fall 2019","$8,982","-","210270","00322200"
"","* Cohort Year represents the year for which students began their studies and applies to Graduation and Transfer Out Rates.","","","","","","","","","","","","","",""
"","** Net Price is Average Net Price for 2021-2022 generated for full-time beginning undergraduate students who were awarded grant or scholarship aid from federal, state or local governments, or the institution. For public institutions only students paying the in-state or in-district rate are included.  For institutions that charge students by program, net price is generated for the institutionâ€™s largest program.","","","","","","","","","","","","","",""
"","NA (Not applicable) - Graduation rate, transfer-out rate and the net price are not applicable to institutions that do not have full-time, first-time degree-seeking undergraduate students in the applicable cohort year or the financial aid year.","","","","","","","","","","","","","",""
